REPO_PATH: code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv
FILE_NAME: antiplatelet_dmd.csv

CONTENT_START
dmd_code,term
12025811000001108,Dipyridamole 30mg/5ml oral solution (Special Order) 1 ml (product)
12026811000001100,Dipyridamole 5mg/5ml oral suspension 1 ml (product)
12027211000001104,Dipyridamole 5mg/5ml oral suspension (Special Order) (product)
12027511000001101,Dipyridamole 5mg/5ml oral suspension (Special Order) 1 ml (product)
12028211000001100,Dipyridamole 5mg/5ml oral solution 1 ml (product)
12028311000001108,Dipyridamole 2 mg/ml oral solution
12028411000001101,Dipyridamole 2 mg/ml oral suspension
12028511000001102,Dipyridamole 5mg/5ml oral solution (Special Order) (product)
12028711000001107,Dipyridamole 2.5 mg/ml oral solution
12028811000001104,Dipyridamole 2.5 mg/ml oral suspension
12028911000001109,Dipyridamole 5mg/5ml oral solution (Special Order) 1 ml (product)
12029011000001100,Dipyridamole 3 mg/ml oral solution
12029211000001105,Dipyridamole 3 mg/ml oral suspension
12029311000001102,Dipyridamole 4 mg/ml oral solution
12029511000001108,Dipyridamole 4 mg/ml oral suspension
12029611000001107,Dipyridamole 6 mg/ml oral solution
12029711000001103,Dipyridamole 6 mg/ml oral suspension
12029811000001106,Dipyridamole 1 mg/ml oral solution
12029911000001101,Dipyridamole 1 mg/ml oral suspension
12089301000001105,Attia
1210711000001105,Dipyridamole 50mg/5ml oral suspension sugar free 150 ml (product)
12171401000001103,MOLITA 200mg/25mg m/r capsules
12183611000001106,Clopidogrel 75mg tablets 30 tablet (product)
12184311000001104,Plavix 75mg tablets (sanofi-aventis) 30 tablet (product)
12220301000001103,Ofcram PR
12273001000001106,ATTIA 200mg m/r capsules
12430611000001107,Aspirin 75mg dispersible tablets (Lloyds Pharmacy Ltd) (product)
12430711000001103,Aspirin 75mg dispersible tablets (Lloyds Pharmacy Ltd) 100 tablet (product)
12463801000001107,Quality and Outcomes Framework - clopidogrel medication prescribable within general practice simple reference set (foundation metadata concept)
12463901000001101,Quality and Outcomes Framework - dipyridamole medication prescribable within general practice simple reference set (foundation metadata concept)
1249311000001108,Dipyridamole 200mg modified-release capsules 60 capsule (product)
1250711000001103,Aspirin 75mg gastro-resistant tablets 16 tablet (product)
12526601000001103,OFCRAM PR 200mg m/r capsules
12534311000001103,Aspirin 75mg gastro-resistant tablets (Lloyds Pharmacy Ltd) (product)
12534411000001105,Aspirin 75mg gastro-resistant tablets (Lloyds Pharmacy Ltd) 56 tablet 2 x 28 tablets (product)
1267611000001103,Aspirin 75mg gastro-resistant tablets 100 tablet (product)
1269911000001102,Aspirin 75mg dispersible tablets 1000 tablet (product)
12783301000001105,Danamep
12887911000001102,Clopidogrel 75mg tablets 100 tablet (product)
