REPO_PATH: code_lists/medications/diabetes/insulin_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/diabetes/insulin_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/diabetes/insulin_dmd.csv
FILE_NAME: insulin_dmd.csv

CONTENT_START
dmd_code,term,drug_substance
11113611000001107,Pork Actrapid 100units/ml solution for injection 10ml vials (Waymade Ltd) (product),Bolus insulin
11113811000001106,Pork Actrapid 100units/ml solution for injection 10ml vials (Waymade Ltd) 1 vial (product),Bolus insulin
11114411000001107,Pork Insulatard 100units/ml suspension for injection 10ml vials (Waymade Ltd) (product),Intermediate insulin
11114611000001105,Levemir Penfill 100units/ml solution for injection 3ml cartridges (Waymade Ltd) (product),Basal insulin
11114811000001109,Pork Insulatard 100units/ml suspension for injection 10ml vials (Waymade Ltd) 1 vial (product),Intermediate insulin
11114911000001104,Levemir Penfill 100units/ml solution for injection 3ml cartridges (Waymade Ltd) 5 cartridge (product),Basal insulin
11115011000001104,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc),Basal insulin
11115211000001109,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Basal insulin
11116211000001103,Pork Mixtard 30 100units/ml suspension for injection 10ml vials (Waymade Ltd) (product),Mix insulin
11116311000001106,Pork Mixtard 30 100units/ml suspension for injection 10ml vials (Waymade Ltd) 1 vial (product),Mix insulin
11116811000001102,Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (Waymade Ltd) (product),Bolus insulin
11116911000001107,Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (Waymade Ltd) 1 vial (product),Bolus insulin
11117211000001101,Hypurin Porcine Neutral 100units/ml solution for injection 1.5ml cartridges (Waymade Ltd) (product),Bolus insulin
11117511000001103,Hypurin Porcine Neutral 100units/ml solution for injection 1.5ml cartridges (Waymade Ltd) 5 cartridge (product),Bolus insulin
11118411000001103,Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials (Waymade Ltd) (product),Intermediate insulin
11118611000001100,Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials (Waymade Ltd) 1 vial (product),Intermediate insulin
11118911000001106,Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials (Waymade Ltd) (product),Bolus insulin
11119211000001107,Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials (Waymade Ltd) 1 vial (product),Bolus insulin
11119311000001104,Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials (Waymade Ltd) (product),Basal insulin
11119411000001106,Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials (Waymade Ltd) 1 vial (product),Basal insulin
11119511000001105,Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials (Waymade Ltd) (product),Intermediate insulin
11119611000001109,Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials (Waymade Ltd) 1 vial (product),Intermediate insulin
11119811000001108,Hypurin Bovine Isophane 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) (product),Intermediate insulin
11120011000001101,Hypurin Bovine Isophane 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) 5 cartridge (product),Intermediate insulin
11121911000001109,Velosulin 100units/ml solution for injection 10ml vials (Waymade Ltd) (product),Bolus insulin
11122211000001107,Velosulin 100units/ml solution for injection 10ml vials (Waymade Ltd) 1 vial (product),Bolus insulin
11122611000001109,Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) (product),Mix insulin
