REPO_PATH: code_lists/medications/diabetes/insulin_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/diabetes/insulin_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/diabetes/insulin_dmd.csv
FILE_NAME: insulin_dmd.csv

CONTENT_START
dmd_code,term,drug_substance
14665711000001105,NovoRapid 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc) (product),Bolus insulin
14665911000001107,NovoRapid 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc) 1 vial (product),Bolus insulin
14712111000001106,Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) (product),Mix insulin
14712311000001108,Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) 5 cartridge (product),Mix insulin
14759411000001102,Lantus 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc) (product),Basal insulin
14759511000001103,Lantus 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc) 5 cartridge (product),Basal insulin
14760811000001101,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sigma Pharmaceuticals Plc) (product),Basal insulin
14760911000001106,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sigma Pharmaceuticals Plc) 5 cartridge (product),Basal insulin
14762411000001102,Lantus 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc) (product),Basal insulin
14762711000001108,Lantus 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc) 1 vial (product),Basal insulin
14763111000001101,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sigma Pharmaceuticals Plc),Basal insulin
14763311000001104,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sigma Pharmaceuticals Plc) 5 pre-filled disposable injection,Basal insulin
155181000001100,Admelog (product),Bolus insulin
15603011000001100,Insulin human 500units/ml solution for injection 20ml vials 1 vial (product),NA
15603111000001104,Humulin R 500units/ml solution for injection 20ml vials (Imported (United States)) (product),Bolus insulin
15603211000001105,Humulin R 500units/ml solution for injection 20ml vials (Imported (United States)) 1 vial (product),Bolus insulin
15611411000001108,Insulin human 500 unit/ml solution for injection 20 ml vial,NA
15871011000001104,Insulin human 100units/ml solution for injection 10ml vials (Special Order) (product),NA
15871311000001101,Insulin human 100units/ml solution for injection 10ml vials (Special Order) 1 vial (product),NA
1628631000001100,Humalog (Insulin lispro),Bolus insulin
16516311000001101,Humalog 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Bolus insulin
16516611000001106,Humalog 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Bolus insulin
16517211000001106,Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd),Bolus insulin
16517311000001103,Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd) 5 pre-filled disposable injection,Bolus insulin
16517711000001104,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Bolus insulin
16517911000001102,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Bolus insulin
16518411000001109,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd),Bolus insulin
16518511000001108,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd) 5 pre-filled disposable injection,Bolus insulin
16518911000001101,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Bolus insulin
16519111000001106,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Bolus insulin
16519611000001103,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd),Bolus insulin
16519711000001107,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd) 5 pre-filled disposable injection,Bolus insulin
16519811000001104,Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Mix insulin
16519911000001109,Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Mix insulin
16520011000001106,Humulin I 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Intermediate insulin
16520111000001107,Humulin I 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Intermediate insulin
16520211000001101,Humulin I 100units/ml suspension for injection 10ml vials (Mawdsley-Brooks & Company Ltd) (product),Intermediate insulin
16520311000001109,Humulin I 100units/ml suspension for injection 10ml vials (Mawdsley-Brooks & Company Ltd) 1 vial (product),Intermediate insulin
16520511000001103,Humulin M3 100units/ml suspension for injection 10ml vials (Mawdsley-Brooks & Company Ltd) (product),Mix insulin
16520711000001108,Humulin M3 100units/ml suspension for injection 10ml vials (Mawdsley-Brooks & Company Ltd) 1 vial (product),Mix insulin
16521011000001102,Humulin M3 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Mix insulin
16521111000001101,Humulin M3 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Mix insulin
16521311000001104,Humulin S 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Bolus insulin
16521411000001106,Humulin S 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Bolus insulin
16521911000001103,Humulin S 100units/ml solution for injection 10ml vials (Mawdsley-Brooks & Company Ltd) (product),Bolus insulin
16522111000001106,Humulin S 100units/ml solution for injection 10ml vials (Mawdsley-Brooks & Company Ltd) 1 vial (product),Bolus insulin
16522311000001108,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd),Bolus insulin
16522511000001102,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd) 5 pre-filled disposable injection,Bolus insulin
16522711000001107,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Bolus insulin
16522911000001109,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Bolus insulin
16523211000001106,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd),Mix insulin
16523511000001109,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd) 5 pre-filled disposable injection,Mix insulin
16523811000001107,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Mix insulin
16523911000001102,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Mix insulin
16530211000001104,Insulin lispro biphasic 25/75 100units/ml suspension for injection 10ml vials 1 vial (product),Mix insulin
16530311000001107,Humalog Mix25 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd) (product),Bolus insulin
16530411000001100,Humalog Mix25 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd) 1 vial (product),Bolus insulin
16548811000001104,Insulin lispro (as insulin lispro protamine) 75 unit/ml and insulin lispro 25 unit/ml suspension for injection 10 ml vial,Bolus insulin
16727911000001107,Levemir InnoLet 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc),Basal insulin
16728011000001109,Levemir InnoLet 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Basal insulin
17509911000001108,Apidra 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Bolus insulin
17510011000001103,Apidra 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Bolus insulin
17510111000001102,Humalog 100units/ml solution for injection 10ml vials (Mawdsley-Brooks & Company Ltd) (product),Bolus insulin
17510211000001108,Humalog 100units/ml solution for injection 10ml vials (Mawdsley-Brooks & Company Ltd) 1 vial (product),Bolus insulin
17510311000001100,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd),Intermediate insulin
17510411000001107,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd) 5 pre-filled disposable injection,Intermediate insulin
17510511000001106,Lantus 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Basal insulin
17510611000001105,Lantus 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Basal insulin
17510711000001101,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Mawdsley-Brooks & Company Ltd) (product),Basal insulin
17510811000001109,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Basal insulin
17510911000001104,Levemir Penfill 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),Basal insulin
17511011000001107,Levemir Penfill 100units/ml solution for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) 5 cartridge (product),Basal insulin
17511111000001108,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd),Basal insulin
17511211000001102,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd) 5 pre-filled disposable injection,Basal insulin
17559111000001102,Humulin I 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) (product),Intermediate insulin
17559211000001108,Humulin I 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) 5 cartridge (product),Intermediate insulin
17559311000001100,Humulin I 100units/ml suspension for injection 10ml vials (Sigma Pharmaceuticals Plc) (product),Intermediate insulin
17559411000001107,Humulin I 100units/ml suspension for injection 10ml vials (Sigma Pharmaceuticals Plc) 1 vial (product),Intermediate insulin
17601411000001109,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Necessity Supplies Ltd),Mix insulin
17601511000001108,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Necessity Supplies Ltd) 5 pre-filled disposable injection,Mix insulin
17601611000001107,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Necessity Supplies Ltd) (product),Mix insulin
17601711000001103,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Necessity Supplies Ltd) 5 cartridge (product),Mix insulin
17601911000001101,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Necessity Supplies Ltd),Bolus insulin
17602011000001108,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Necessity Supplies Ltd) 5 pre-filled disposable injection,Bolus insulin
17602211000001103,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd) (product),Bolus insulin
17602311000001106,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd) 5 cartridge (product),Bolus insulin
17608511000001103,Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),Intermediate insulin
17608711000001108,Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) 5 pre-filled disposable injection,Intermediate insulin
17609511000001109,Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),Mix insulin
17609711000001104,Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) 5 pre-filled disposable injection,Mix insulin
17899911000001105,Humulin M3 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) (product),Mix insulin
17900011000001108,Humulin M3 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) 5 cartridge (product),Mix insulin
18030311000001100,Insuman Infusat 100units/ml solution for injection 10ml vials (Imported (Germany)) (product),Bolus insulin
18030411000001107,Insuman Infusat 100units/ml solution for injection 10ml vials (Imported (Germany)) 1 vial (product),Bolus insulin
18046211000001106,Insulin human 100units/ml solution for injection 3.15ml cartridges 5 cartridge (product),NA
18046311000001103,Insuman Infusat 100units/ml solution for injection 3.15ml cartridges (Imported (Germany)) (product),Bolus insulin
18046411000001105,Insuman Infusat 100units/ml solution for injection 3.15ml cartridges (Imported (Germany)) 5 cartridge (product),Bolus insulin
18048711000001100,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),Bolus insulin
18048811000001108,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc) 5 pre-filled disposable injection,Bolus insulin
18048911000001103,Humulin M3 100units/ml suspension for injection 10ml vials (Sigma Pharmaceuticals Plc) (product),Mix insulin
18049011000001107,Humulin M3 100units/ml suspension for injection 10ml vials (Sigma Pharmaceuticals Plc) 1 vial (product),Mix insulin
18083911000001104,Insulin human 100 unit/ml solution for injection 3.15 ml cartridge,NA
18150311000001109,Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled SoloStar pens (Sanofi),Mix insulin
18150411000001102,Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled SoloStar pens (Sanofi) 5 pre-filled disposable injection,Mix insulin
18212011000001102,Lantus 100units/ml solution for injection 10ml vials (Mawdsley-Brooks & Company Ltd) (product),Basal insulin
18212111000001101,Lantus 100units/ml solution for injection 10ml vials (Mawdsley-Brooks & Company Ltd) 1 vial (product),Basal insulin
18266611000001109,Humalog 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd) (product),Bolus insulin
18266711000001100,Humalog 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd) 5 cartridge (product),Bolus insulin
18266811000001108,Humalog 100units/ml solution for injection 10ml vials (Necessity Supplies Ltd) (product),Bolus insulin
18266911000001103,Humalog 100units/ml solution for injection 10ml vials (Necessity Supplies Ltd) 1 vial (product),Bolus insulin
18286111000001104,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc) (product),Bolus insulin
18286211000001105,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc) 5 cartridge (product),Bolus insulin
18490511000001106,Lantus 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd) (product),Basal insulin
18490611000001105,Lantus 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd) 5 cartridge (product),Basal insulin
18490711000001101,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Necessity Supplies Ltd) (product),Basal insulin
18490811000001109,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Necessity Supplies Ltd) 5 cartridge (product),Basal insulin
18490911000001104,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Necessity Supplies Ltd),Basal insulin
18491011000001107,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Necessity Supplies Ltd) 5 pre-filled disposable injection,Basal insulin
18491611000001100,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Necessity Supplies Ltd),Basal insulin
18491711000001109,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Necessity Supplies Ltd) 5 pre-filled disposable injection,Basal insulin
18491811000001101,Lantus 100units/ml solution for injection 10ml vials (Necessity Supplies Ltd) (product),Basal insulin
18491911000001106,Lantus 100units/ml solution for injection 10ml vials (Necessity Supplies Ltd) 1 vial (product),Basal insulin
18553711000001107,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc),Bolus insulin
18553811000001104,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Bolus insulin
18553911000001109,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc),Bolus insulin
18554011000001107,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Bolus insulin
18554111000001108,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc),Bolus insulin
18554211000001102,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Bolus insulin
18630911000001105,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Mawdsley-Brooks & Company Ltd),Basal insulin
18631011000001102,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Mawdsley-Brooks & Company Ltd) 5 pre-filled disposable injection,Basal insulin
18745311000001105,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),Bolus insulin
18745411000001103,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc) 5 pre-filled disposable injection,Bolus insulin
18745511000001104,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),Bolus insulin
18745611000001100,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc) 5 pre-filled disposable injection,Bolus insulin
19354411000001104,Insuman Basal 100units/ml suspension for injection 3ml pre-filled SoloStar pens (Sanofi),Intermediate insulin
19354511000001100,Insuman Basal 100units/ml suspension for injection 3ml pre-filled SoloStar pens (Sanofi) 5 pre-filled disposable injection,Intermediate insulin
19570211000001106,NovoRapid FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),Bolus insulin
19570311000001103,NovoRapid FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) 5 pre-filled disposable injection,Bolus insulin
19613111000001108,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (DE Pharmaceuticals),Bolus insulin
19613211000001102,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (DE Pharmaceuticals) 5 pre-filled disposable injection,Bolus insulin
19613311000001105,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (DE Pharmaceuticals),Bolus insulin
19613411000001103,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (DE Pharmaceuticals) 5 pre-filled disposable injection,Bolus insulin
19613511000001104,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (DE Pharmaceuticals),Bolus insulin
19613611000001100,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (DE Pharmaceuticals) 5 pre-filled disposable injection,Bolus insulin
19613711000001109,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Doncaster Pharmaceuticals Ltd) (product),Bolus insulin
19613811000001101,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Doncaster Pharmaceuticals Ltd) 5 cartridge (product),Bolus insulin
19613911000001106,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Doncaster Pharmaceuticals Ltd) (product),Bolus insulin
19614011000001109,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Doncaster Pharmaceuticals Ltd) 5 cartridge (product),Bolus insulin
19614111000001105,Humalog 100units/ml solution for injection 10ml vials (Doncaster Pharmaceuticals Ltd) (product),Bolus insulin
19614211000001104,Humalog 100units/ml solution for injection 10ml vials (Doncaster Pharmaceuticals Ltd) 1 vial (product),Bolus insulin
19614311000001107,Humulin I 100units/ml suspension for injection 10ml vials (Doncaster Pharmaceuticals Ltd) (product),Intermediate insulin
19614411000001100,Humulin I 100units/ml suspension for injection 10ml vials (Doncaster Pharmaceuticals Ltd) 1 vial (product),Intermediate insulin
1982901000001108,Neusulin 100iu/mL injection vial,Bolus insulin
1983001000001104,Quicksol 100iu/mL injection vial,Bolus insulin
1983101000001103,Neulente 100iu/mL injection,Basal insulin
1983201000001105,Tempulin 100iu/mL injection,Basal insulin
1983301000001101,Neuphane 100iu/mL injection,Intermediate insulin
19902111000001101,Insulin zinc mixed human,Mix insulin
20163311000001106,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Doncaster Pharmaceuticals Ltd) (product),Mix insulin
20163511000001100,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Doncaster Pharmaceuticals Ltd) 5 cartridge (product),Mix insulin
20163611000001101,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Doncaster Pharmaceuticals Ltd) (product),Bolus insulin
20163711000001105,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Doncaster Pharmaceuticals Ltd) 5 cartridge (product),Bolus insulin
2103401000001106,Neutral insulin 100iu/mL injection 10mL,Bolus insulin
2103501000001105,Velosulin cartridge 100iu/mL injection 5.7mL,Bolus insulin
2103601000001109,Human Actrapid 100iu/mL preloaded injection pen 3mL,Bolus insulin
2103801000001108,Semitard MC 100iu/mL injection 10mL,Intermediate insulin
2104001000001104,Humulin M3 injection 10mL,Mix insulin
2104101000001103,Pur-In Isophane 100iu/mL cartridges 3mL,Intermediate insulin
2104201000001105,Human Mixtard 30 Penfill 1.5mL,Mix insulin
2104401000001109,Humulin M1 10/90 vials 10mL,Mix insulin
2104501000001108,Humulin M3 30/70 vials 10mL,Mix insulin
2104601000001107,Human Mixtard 30 ge 100units/mL injection 10mL,Mix insulin
2104701000001102,Human Mixtard 20 Penfill 1.5mL,Mix insulin
211801000001108,Human Insulatard ge 100units/mL injection vial,Intermediate insulin
21203911000001104,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Waymade Healthcare Plc),Basal insulin
21204011000001101,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Basal insulin
212101000001106,Humulin M4 40/60 (prb) 100units/mL injection vial,Mix insulin
214101000001102,Human isophane insulin 100units/mL injection cartridge - product,Intermediate insulin
21928411000001105,Insulin degludec 100units/ml solution for injection 3ml cartridges 5 cartridge (product),Basal insulin
21928511000001109,Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd) (product),Basal insulin
21928611000001108,Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd) 5 cartridge (product),Basal insulin
21929711000001108,Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices 5 pre-filled disposable injection (product),Basal insulin
21930011000001100,Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),Basal insulin
21930211000001105,Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) 5 pre-filled disposable injection,Basal insulin
21931711000001106,Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices 3 pre-filled disposable injection (product),Basal insulin
21931911000001108,Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),Basal insulin
21932011000001101,Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) 3 pre-filled disposable injection,Basal insulin
21938911000001104,Insulin degludec (product),Basal insulin
21939511000001100,Insulin degludec 100 unit/ml solution for injection 3 ml cartridge,Basal insulin
21939611000001101,Insulin degludec 100 unit/ml solution for injection 3 ml pre-filled disposable injection,Basal insulin
21939711000001105,Insulin degludec 200 unit/ml solution for injection 3 ml pre-filled disposable injection,Basal insulin
21940211000001106,Insulin degludec (substance),Basal insulin
22643511000001100,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Waymade Healthcare Plc) (product),Basal insulin
22643611000001101,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Waymade Healthcare Plc) 5 cartridge (product),Basal insulin
227391000001107,Lyumjev,Bolus insulin
227881000001104,Lyumjev KwikPen (product),Bolus insulin
227891000001102,Lyumjev Junior KwikPen,Bolus insulin
227931000001105,Lyumjev,Bolus insulin
2307801000001105,Humulin M2 20/80 cartridges 1.5mL,Mix insulin
230881000001102,Insulin isophane biphasic porcine,Mix insulin
2317401000001105,Velosulin 100iu/mL injection cartridge,Bolus insulin
2329101000001101,Humulin M5 50/50 (prb) 100units/mL injection vial,Mix insulin
2329201000001108,Humulin M5 50/50 injection vial 10mL,Mix insulin
2424601000001101,Human insulin 100units/mL prefilled pen - product,NA
2424701000001106,Human isophane insulin 100units/mL prefilled pen - product,Intermediate insulin
2428601000001107,Humulin M5 50/50 (prb) 100units/mL injection cartridge,Mix insulin
2428701000001102,Humulin M5 50/50 cartridge 1.5mL,Mix insulin
2484401000001106,Humaject M3 100iu/mL prefilled pen,Mix insulin
2484801000001108,Humaject S 100iu/mL prefilled pen,Bolus insulin
2521801000001106,Humulin M1 10/90 cartridges 3mL,Mix insulin
2521901000001100,Humulin M2 20/80 cartridges 3mL,Mix insulin
2522001000001108,Humulin M3 30/70 cartridges 3mL,Mix insulin
2522101000001109,Humulin M4 40/60 cartridges 3mL,Mix insulin
2522201000001102,Humulin M5 50/50 cartridges 3mL,Mix insulin
2522301000001106,Humulin S 100iu/mL cartridges 3mL,Bolus insulin
2522401000001103,Humulin I 100iu/mL cartridges 3mL,Intermediate insulin
26209511000001105,Insulin aspart 100units/ml solution for injection 1.6ml cartridges 5 cartridge (product),Bolus insulin
26209611000001109,NovoRapid PumpCart 100units/ml solution for injection 1.6ml cartridges (Novo Nordisk Ltd) (product),Bolus insulin
26209711000001100,NovoRapid PumpCart 100units/ml solution for injection 1.6ml cartridges (Novo Nordisk Ltd) 5 cartridge (product),Bolus insulin
2646901000001100,Humaject M3,Mix insulin
2647201000001107,Humaject S,Bolus insulin
2647301000001103,Human Mixtard,Mix insulin
26655811000001102,Insulin aspart 100 unit/ml solution for injection 1.6 ml cartridge,Bolus insulin
2759601000001108,Pork Mixtard 30 100units/mL injection,Mix insulin
2760001000001104,Pork Mixtard 30 injection 10mL,Mix insulin
2760101000001103,Pork Insulatard 100units/mL injection,Intermediate insulin
2760201000001105,Pork Insulatard 100units/mL injection 10mL,Intermediate insulin
2760301000001101,Pork Velosulin injection 10mL,Bolus insulin
2769901000001107,Pork Insulatard,Intermediate insulin
2770101000001107,Pork Mixtard,Mix insulin
2770701000001108,Human Actrapid,Bolus insulin
2770801000001104,Human Ultratard,Basal insulin
2771201000001107,Human Insulatard,Intermediate insulin
2771401000001106,Human Monotard,Basal insulin
2798001000001104,Insulin lispro 100iu/mL injection vial - product,Bolus insulin
2798101000001103,Humalog 100iu/mL injection vial,Bolus insulin
2798201000001105,Humalog 100iu/mL injection 10mL,Bolus insulin
2798301000001101,Insulin lispro 100iu/mL injection cartridge - product,Bolus insulin
2798401000001109,Humalog 100iu/mL injection cartridge,Bolus insulin
2798501000001108,Humalog 100iu/mL cartridges 1.5mL,Bolus insulin
2798601000001107,Humalog,Bolus insulin
28044911000001109,Insulin human 500units/ml solution for injection 20ml vials (Special Order) (product),NA
28045111000001105,Insulin human 500units/ml solution for injection 20ml vials (Special Order) 1 vial (product),NA
28054211000001103,Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices 5 pre-filled disposable injection (product),Basal insulin
28054311000001106,Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),Basal insulin
28054411000001104,Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) 5 pre-filled disposable injection,Basal insulin
282601000001100,Human Insulatard 100units/mL Penfill,Intermediate insulin
