REPO_PATH: code_lists/medications/blood pressure lowering/arb_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/arb_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/arb_dmd.csv
FILE_NAME: arb_dmd.csv

CONTENT_START
dmd_code,term
5331611000001107,Amias 8mg tablets (PI) (Waymade Ltd) 28 tablet 2 x 14 tablets (product)
3037201000001107,Aprovel
9211701000001109,Aprovel (product)
9429501000001108,Aprovel (qualifier value)
3037001000001101,Aprovel 150mg tablet
37429011000001106,Aprovel 150mg tablets (CST Pharma Ltd)
37429111000001107,Aprovel 150mg tablets (CST Pharma Ltd) 28 tablet
13828511000001107,Aprovel 150mg tablets (Doncaster Pharmaceuticals Ltd) (product)
13828611000001106,Aprovel 150mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
29960411000001105,Aprovel 150mg tablets (Lexon (UK) Ltd) (product)
29960511000001109,Aprovel 150mg tablets (Lexon (UK) Ltd) 28 tablet (product)
16263611000001107,Aprovel 150mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16263811000001106,Aprovel 150mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
17586211000001107,Aprovel 150mg tablets (Necessity Supplies Ltd) (product)
17586311000001104,Aprovel 150mg tablets (Necessity Supplies Ltd) 28 tablet (product)
10461311000001105,Aprovel 150mg tablets (PI) (Dowelhurst Ltd) (product)
10461511000001104,Aprovel 150mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
5333211000001109,Aprovel 150mg tablets (PI) (Waymade Ltd) (product)
5333311000001101,Aprovel 150mg tablets (PI) (Waymade Ltd) 28 tablet 2 x 14 tablets (product)
859711000001103,Aprovel 150mg tablets (Sanofi-Synthelabo Ltd) (product)
1355511000001108,Aprovel 150mg tablets (Sanofi-Synthelabo Ltd) 28 tablet 2 x 14 tablets (product)
14193511000001100,Aprovel 150mg tablets (Sigma Pharmaceuticals Plc) (product)
14193611000001101,Aprovel 150mg tablets (Sigma Pharmaceuticals Plc) 28 tablet (product)
3037101000001100,Aprovel 300mg tablet
