REPO_PATH: code_lists/medications/blood pressure lowering/acei_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/acei_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/acei_dmd.csv
FILE_NAME: acei_dmd.csv

CONTENT_START
dmd_code,term
10441211000001106,Ramipril 10mg tablets (Niche Generics Ltd) (product)
10441311000001103,Ramipril 10mg tablets (Niche Generics Ltd) 28 tablet (product)
10441411000001105,Ramipril 2.5mg tablets (Niche Generics Ltd) (product)
10441511000001109,Ramipril 2.5mg tablets (Niche Generics Ltd) 28 tablet (product)
10441611000001108,Ramipril 5mg tablets (Niche Generics Ltd) (product)
10441711000001104,Ramipril 5mg tablets (Niche Generics Ltd) 28 tablet (product)
104511000001109,Enalapril 10mg tablets (Zentiva Pharma UK Ltd)
1046111000001109,Co-zidocapt 12.5mg/25mg tablets 28 tablet (product)
1046811000001102,Captopril 25mg tablets 56 tablet (product)
10469411000001102,Capozide 25mg/50mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
10471811000001106,Zestril 5mg tablets (PI) (Dowelhurst Ltd) 60 tablet (product)
10483611000001104,Zestoretic 10 tablets (PI) (Waymade Ltd) (product)
10483711000001108,Zestoretic 10 tablets (PI) (Waymade Ltd) 28 tablet (product)
10498311000001100,Capozide 25mg/50mg tablets (PI) (Waymade Ltd) 28 tablet (product)
10505311000001103,Innovace 5mg tablets (PI) (Dowelhurst Ltd) (product)
10505511000001109,Innovace 5mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
10505611000001108,Innovace 20mg tablets (PI) (Dowelhurst Ltd) (product)
10505711000001104,Innovace 20mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
10512411000001100,Coversyl 4mg tablets (PI) (Waymade Ltd) (product)
10512511000001101,Coversyl 4mg tablets (PI) (Waymade Ltd) 50 tablet (product)
1061011000001107,Enalapril 5mg tablets 28 tablet (product)
1065901000001106,Zestoretic 10 tablet
1066801000001109,Accupro 40mg tablet
1067211000001107,Lisinopril 10mg tablets 28 tablet (product)
1069111000001107,Ramipril 10mg capsules 28 capsule (product)
1070601000001104,Lisinopril+hydrochlorothiazide 10mg/12.5mg tablet - product
10720911000001101,Ramipril 2.5mg tablets (Accord Healthcare Ltd)
10721011000001109,Ramipril 2.5mg tablets (Accord Healthcare Ltd) 28 tablet 4 x 7 tablets
10721111000001105,Ramipril 5mg tablets (Accord Healthcare Ltd)
10721211000001104,Ramipril 5mg tablets (Accord Healthcare Ltd) 28 tablet 4 x 7 tablets
10721411000001100,Ramipril 10mg tablets (Accord Healthcare Ltd)
10721611000001102,Ramipril 10mg tablets (Accord Healthcare Ltd) 28 tablet 4 x 7 tablets
10742711000001102,Perindopril erbumine 2mg tablets (Kent Pharma (UK) Ltd)
10743111000001109,Perindopril erbumine 2mg tablets (Kent Pharma (UK) Ltd) 30 tablet 2 x 15 tablets
10743211000001103,Perindopril erbumine 4mg tablets (Kent Pharma (UK) Ltd)
10743311000001106,Perindopril erbumine 4mg tablets (Kent Pharma (UK) Ltd) 30 tablet 2 x 15 tablets
10746301000001104,RAMIPRIL 2.5mg+5mg+10mg tablets titration pack
10746401000001107,TRITACE Titration Pack tablets
1076311000001105,Quinapril 10mg tablets 28 tablet (product)
10767411000001102,Innovace 20mg tablets (PI) (Waymade Ltd) (product)
10767511000001103,Innovace 20mg tablets (PI) (Waymade Ltd) 28 tablet (product)
1079401000001108,Carace 10 Plus tablet
10828511000001108,Perindopril 2mg tablets (A A H Pharmaceuticals Ltd) (product)
10828611000001107,Perindopril erbumine 2mg tablets (A A H Pharmaceuticals Ltd) 30 tablet (product)
10828711000001103,Perindopril 4mg tablets (A A H Pharmaceuticals Ltd) (product)
10828811000001106,Perindopril erbumine 4mg tablets (A A H Pharmaceuticals Ltd) 30 tablet (product)
10829111000001106,Perindopril 8mg tablets (A A H Pharmaceuticals Ltd) (product)
10829211000001100,Perindopril erbumine 8mg tablets (A A H Pharmaceuticals Ltd) 30 tablet (product)
10838711000001100,Coversyl 4mg tablets (PI) (Waymade Ltd) 30 tablet (product)
10838811000001108,Innovace 5mg tablets (PI) (Waymade Ltd) (product)
10838911000001103,Innovace 5mg tablets (PI) (Waymade Ltd) 28 tablet (product)
10839011000001107,Innovace 10mg tablets (PI) (Waymade Ltd) (product)
10839111000001108,Innovace 10mg tablets (PI) (Waymade Ltd) 28 tablet (product)
108562001,Trandolapril
108564000,Ramipril
108569005,Fosinopril
108575001,Lisinopril
108578004,Quinapril
1096511000001105,Perindopril 4mg tablets 30 tablet (product)
1097101000001100,Zestril 2.5mg starter pack
1097201000001107,Lisinopril 2.5mg tablet starter pack
1097301000001103,Quinapril 40mg tablet - product
1100011000001108,Ramipril 2.5mg capsules 28 capsule (product)
110061000001108,Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets (product)
1100711000001105,Enalapril 10mg tablets 28 tablet (product)
11056411000001100,Capoten 25mg tablets (Waymade Ltd) 60 tablet (product)
11056611000001102,Captopril 50mg tablets 60 tablet (product)
11056711000001106,Capoten 50mg tablets (Waymade Ltd) 60 tablet (product)
110581000001108,Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets (product)
11112201000001101,CAPOZIDE 50mg/25mg tablets
111191000001108,Cilazapril 1mg tablets
111611000001109,Tritace 1.25mg capsules (Aventis Pharma) (product)
111671000001101,Cilazapril 2.5mg tablets
111741000001104,Cilazapril 5mg tablets
1117711000001109,Imidapril 5mg tablets 28 tablet (product)
112061000001107,Cilazapril 500microgram tablets (product)
1123611000001100,Quinapril 5mg tablets 28 tablet (product)
1125311000001106,Co-zidocapt 25mg/50mg tablets 28 tablet (product)
11390201000001106,RAMIPRIL 2.5mg/5mL oral solution
11407911000001108,Ramipril 5mg capsules (Almus Pharmaceuticals Ltd) (product)
11408111000001106,Ramipril 5mg capsules (Almus Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules (product)
11408211000001100,Ramipril 10mg capsules (Almus Pharmaceuticals Ltd) (product)
11408311000001108,Ramipril 10mg capsules (Almus Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules (product)
11413411000001105,Ramipril 1.25mg tablets (Pliva Pharma Ltd) (product)
11413511000001109,Ramipril 1.25mg tablets (Pliva Pharma Ltd) 28 tablet 2 x 14 tablets (product)
11413611000001108,Ramipril 10mg tablets (Pliva Pharma Ltd) (product)
11413711000001104,Ramipril 10mg tablets (Pliva Pharma Ltd) 28 tablet 2 x 14 tablets (product)
11413811000001107,Ramipril 2.5mg tablets (Pliva Pharma Ltd) (product)
11413911000001102,Ramipril 2.5mg tablets (Pliva Pharma Ltd) 28 tablet 2 x 14 tablets (product)
11414011000001104,Ramipril 5mg tablets (Pliva Pharma Ltd) (product)
11414111000001103,Ramipril 5mg tablets (Pliva Pharma Ltd) 28 tablet 2 x 14 tablets (product)
11484411000001106,Captopril 5mg tablets 1 tablet (product)
11484511000001105,Captopril 5mg tablets (Special Order) (product)
11484611000001109,Captopril 5mg tablets (Special Order) 1 tablet (product)
11490011000001105,Captopril 5 mg oral tablet 1 tablet tablet
115211000001105,Enalapril 10mg tablets (Approved Prescription Services) (product)
11533411000001106,Ramipril 1.25mg tablets (Sandoz Ltd) (product)
11533511000001105,Ramipril 1.25mg tablets (Sandoz Ltd) 28 tablet (product)
11533611000001109,Ramipril 2.5mg tablets (Sandoz Ltd) (product)
11533711000001100,Ramipril 2.5mg tablets (Sandoz Ltd) 28 tablet (product)
11533811000001108,Ramipril 5mg tablets (Sandoz Ltd) (product)
11533911000001103,Ramipril 5mg tablets (Sandoz Ltd) 28 tablet (product)
11534011000001100,Ramipril 10mg tablets (Sandoz Ltd) (product)
11534111000001104,Ramipril 10mg tablets (Sandoz Ltd) 28 tablet (product)
1154211000001100,Trandolapril 1mg capsules 28 capsule (product)
11553711000001101,Enalapril 2.5mg tablets (Dexcel-Pharma Ltd) (product)
11553811000001109,Enalapril 2.5mg tablets (Dexcel-Pharma Ltd) 28 tablet (product)
11553911000001104,Enalapril 5mg tablets (Dexcel-Pharma Ltd) (product)
11554011000001101,Enalapril 5mg tablets (Dexcel-Pharma Ltd) 28 tablet (product)
11554111000001100,Enalapril 10mg tablets (Dexcel-Pharma Ltd) (product)
11554211000001106,Enalapril 10mg tablets (Dexcel-Pharma Ltd) 28 tablet (product)
11554311000001103,Enalapril 20mg tablets (Dexcel-Pharma Ltd) (product)
11554411000001105,Enalapril 20mg tablets (Dexcel-Pharma Ltd) 28 tablet (product)
11580311000001104,Triapin modified-release tablets (Waymade Healthcare Plc) (product)
11580411000001106,Triapin modified-release tablets (Waymade Healthcare Plc) 28 tablet (product)
11599011000001109,Lisinopril 5mg/5ml oral solution sugar free 150 ml (product)
11599111000001105,Lisinopril 5mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) (product)
11599211000001104,Lisinopril 5mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 150 ml (product)
11604011000001104,Lisinopril 5mg/5ml oral solution sugar free 1 ml (product)
11604111000001103,Lisinopril 5mg/5ml oral solution sugar free (Special Order) (product)
11604211000001109,Lisinopril 5mg/5ml oral solution sugar free (Special Order) 1 ml (product)
11612511000001100,Lisinopril 5mg/5ml oral solution sugar free (product)
1162111000001107,Trandolapril 500microgram capsules 14 capsule (product)
1175211000001102,Quinapril 40mg tablets 28 tablet (product)
1187511000001102,Captopril 12.5mg tablets 100 tablet (product)
11879711000001104,Perindopril 2mg tablets (Teva UK Ltd) (product)
11879811000001107,Perindopril 2mg tablets (Teva UK Ltd) 30 tablet (product)
11879911000001102,Perindopril 4mg tablets (Teva UK Ltd) (product)
11880011000001101,Perindopril 4mg tablets (Teva UK Ltd) 30 tablet (product)
11880111000001100,Perindopril 8mg tablets (Teva UK Ltd) (product)
