REPO_PATH: code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv
FILE_NAME: thiazide_diuretics_dmd.csv

CONTENT_START
dmd_code,term
10398811000001103,Co-tenidone 50mg/12.5mg tablets (Arrow Generics Ltd) 28 tablet (product)
10398911000001108,Co-tenidone 100mg/25mg tablets (Arrow Generics Ltd) (product)
10399011000001104,Co-tenidone 100mg/25mg tablets (Arrow Generics Ltd) 28 tablet (product)
10437611000001100,Indapamide 2.5mg tablets (Niche Generics Ltd) (product)
10437811000001101,Indapamide 2.5mg tablets (Niche Generics Ltd) 28 tablet 2 x 14 tablets
10438511000001100,Indapamide 2.5mg tablets (Niche Generics Ltd) 56 tablet 4 x 14 tablets
1046111000001109,Co-zidocapt 12.5mg/25mg tablets 28 tablet (product)
10467411000001106,Tenoretic 100mg/25mg tablets (PI) (Dowelhurst Ltd) (product)
10467611000001109,Tenoretic 100mg/25mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
10469411000001102,Capozide 25mg/50mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
10483611000001104,Zestoretic 10 tablets (PI) (Waymade Ltd) (product)
10483711000001108,Zestoretic 10 tablets (PI) (Waymade Ltd) 28 tablet (product)
10486911000001104,CoAprovel 300mg/12.5mg tablets (PI) (Dowelhurst Ltd) (product)
10487111000001104,CoAprovel 300mg/12.5mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
10488711000001102,Moduretic 5mg/50mg tablets (PI) (Dowelhurst Ltd) (product)
10489011000001109,Moduretic 5mg/50mg tablets (PI) (Dowelhurst Ltd) 30 tablet (product)
10498311000001100,Capozide 25mg/50mg tablets (PI) (Waymade Ltd) 28 tablet (product)
10507611000001101,Dyazide 50mg/25mg tablets (PI) (Dowelhurst Ltd) (product)
10507711000001105,Dyazide 50mg/25mg tablets (PI) (Dowelhurst Ltd) 60 tablet (product)
10511511000001109,Co-Diovan 160mg/25mg tablets (PI) (Waymade Ltd) (product)
10511611000001108,Co-Diovan 160mg/25mg tablets (PI) (Waymade Ltd) 28 tablet (product)
10540901000001102,Rawel XL
10540911000001100,MicardisPlus 80/12.5mg tablets (PI) (Waymade Ltd) (product)
10541011000001108,MicardisPlus 80/12.5mg tablets (PI) (Waymade Ltd) 28 tablet (product)
